color;code;ColorImgUrl
"синий с серым";sinij_s_serym;http://feed.p5s.ru/images/color/534.jpeg
"синий с сиреневым";sinij_s_sirenevym;http://feed.p5s.ru/images/color/507.png
"синий с черным";sinij_s_chernym;http://feed.p5s.ru/images/color/330.jpeg
"синяя шотландка";sinyaya_shotlandka;http://feed.p5s.ru/images/color/479.jpeg
сиреневый;sirenevyj;http://feed.p5s.ru/images/color/352.png
"сиреневый с оранжевым";sirenevyj_s_oranzhevym;http://feed.p5s.ru/images/color/508.jpeg
телесный;telesnyj;http://feed.p5s.ru/images/color/43.png
"телесный с черным";telesnyj_s_chernym;http://feed.p5s.ru/images/color/455.png
темно-бирюзовый;temno-biryuzovyj;http://feed.p5s.ru/images/color/527.jpeg
темно-серый;temno-seryj;http://feed.p5s.ru/images/color/529.jpeg
темно-синий;temno-sinij;http://feed.p5s.ru/images/color/400.jpeg
тигровый;tigrovyj;http://feed.p5s.ru/images/color/456.jpeg
фиолетовый;fioletovyj;http://feed.p5s.ru/images/color/19.jpeg
"фиолетовый с белым";fioletovyj_s_belym;http://feed.p5s.ru/images/color/139.jpeg
"фиолетовый с розовым";fioletovyj_s_rozovym;http://feed.p5s.ru/images/color/328.png
"фиолетовый с черным";fioletovyj_s_chernym;http://feed.p5s.ru/images/color/264.jpeg
хаки;haki;http://feed.p5s.ru/images/color/417.jpeg
черный;chernyj;http://feed.p5s.ru/images/color/2.jpeg
"черный с бежевым";chernyj_s_bezhevym;http://feed.p5s.ru/images/color/135.jpeg
"черный с белым";chernyj_s_belym;http://feed.p5s.ru/images/color/25.jpeg
"черный с голубым";chernyj_s_golubym;http://feed.p5s.ru/images/color/523.jpeg
"черный с желтым";chernyj_s_zheltym;http://feed.p5s.ru/images/color/37.jpeg
"черный с зеленым";chernyj_s_zelenym;http://feed.p5s.ru/images/color/521.jpeg
"черный с золотистым";chernyj_s_zolotistym;http://feed.p5s.ru/images/color/34.jpeg
"черный с коралловым";chernyj_s_korallovym;http://feed.p5s.ru/images/color/504.jpeg
"черный с красным";chernyj_s_krasnym;http://feed.p5s.ru/images/color/27.jpeg
"черный с лаймовым";chernyj_s_lajmovym;http://feed.p5s.ru/images/color/383.jpeg
"черный с леопардовым";chernyj_s_leopardovym;http://feed.p5s.ru/images/color/314.jpeg
"черный с малиновым";chernyj_s_malinovym;http://feed.p5s.ru/images/color/350.jpeg
"черный с оранжевым";chernyj_s_oranzhevym;http://feed.p5s.ru/images/color/512.jpeg
"черный с розовым";chernyj_s_rozovym;http://feed.p5s.ru/images/color/30.png
"черный с серебристым";chernyj_s_serebristym;http://feed.p5s.ru/images/color/409.jpeg
"черный с серым";chernyj_s_serym;http://feed.p5s.ru/images/color/453.jpeg
"черный с синим";chernyj_s_sinim;http://feed.p5s.ru/images/color/384.jpeg
"черный с фиолетовым";chernyj_s_fioletovym;http://feed.p5s.ru/images/color/305.jpeg
ярко-розовый;yarko-rozovyj;http://feed.p5s.ru/images/color/18.jpeg
